Mixture,Host,Antibiotic,CFUs,Day,CFUs_su,CFUs_sub
one,Ecoli,2-Cm,0,0,0,1
one,Ecoli,2-Cm,0,1,0,1
one,Ecoli,2-Cm,0,1,0,1
one,Ecoli,2-Cm,0,1,0,1
one,Ecoli,2-Cm,0,2,0,1
one,Ecoli,2-Cm,0,2,0,1
one,Ecoli,2-Cm,0,2,0,1
one,Ecoli,2-Cm,0,3,0,1
one,Ecoli,2-Cm,0,3,0,1
one,Ecoli,2-Cm,0,3,0,1
one,Ecoli,2-Cm,0,4,0,1
one,Ecoli,2-Cm,0,4,0,1
one,Ecoli,2-Cm,0,4,0,1
one,Ecoli,3-ATet,864000000,0,864000000,864000001
one,Ecoli,3-ATet,29600000,1,29600000,29600001
one,Ecoli,3-ATet,33400000,1,33400000,33400001
one,Ecoli,3-ATet,21500000,1,21500000,21500001
one,Ecoli,3-ATet,64000000,2,64000000,64000001
one,Ecoli,3-ATet,74000000,2,74000000,74000001
one,Ecoli,3-ATet,41000000,2,41000000,41000001
one,Ecoli,3-ATet,5500000,3,5500000,5500001
one,Ecoli,3-ATet,7000000,3,7000000,7000001
one,Ecoli,3-ATet,11900000,3,11900000,11900001
one,Ecoli,3-ATet,500000,4,500000,500001
one,Ecoli,3-ATet,2200000,4,2200000,2200001
one,Ecoli,3-ATet,1600000,4,1600000,1600001
one,Ecoli,4-Both,0,0,0,1.3
one,Ecoli,4-Both,0,1,0,1.3
one,Ecoli,4-Both,0,1,0,1.3
one,Ecoli,4-Both,0,1,0,1.3
one,Ecoli,4-Both,0,2,0,1.3
one,Ecoli,4-Both,0,2,0,1.3
one,Ecoli,4-Both,0,2,0,1.3
one,Ecoli,4-Both,0,3,0,1.3
one,Ecoli,4-Both,0,3,0,1.3
one,Ecoli,4-Both,0,3,0,1.3
one,Ecoli,4-Both,0,4,0,1.3
one,Ecoli,4-Both,0,4,0,1.3
one,Ecoli,4-Both,0,4,0,1.3
one,Ecoli,1-LB,605000000,0,0,1.3
one,Ecoli,1-LB,70000000,1,40400000,40400001
one,Ecoli,1-LB,160000000,1,126600000,126600001
one,Ecoli,1-LB,80000000,1,58500000,58500001
one,Ecoli,1-LB,117000000,2,53000000,53000001
one,Ecoli,1-LB,151000000,2,77000000,77000001
one,Ecoli,1-LB,92000000,2,51000000,51000001
one,Ecoli,1-LB,12000000,3,6500000,6500001
one,Ecoli,1-LB,17000000,3,10000000,10000001
one,Ecoli,1-LB,17000000,3,5100000,5100001
one,Ecoli,1-LB,5700000,4,5200000,5200001
one,Ecoli,1-LB,7900000,4,5700000,5700001
one,Ecoli,1-LB,7800000,4,6200000,6200001
one,Kleb,2-Cm,1550000000,0,1550000000,1550000001
one,Kleb,2-Cm,900000,1,899740,899741
one,Kleb,2-Cm,1000000,1,1000000,1000001
one,Kleb,2-Cm,2000000,1,1999900,1999901
one,Kleb,2-Cm,1100000,2,1099980,1099981
one,Kleb,2-Cm,3100000,2,3098760,3098761
one,Kleb,2-Cm,2300000,2,2299040,2299041
one,Kleb,2-Cm,900000,3,899980,899981
one,Kleb,2-Cm,4900000,3,4898560,4898561
one,Kleb,2-Cm,2700000,3,2692480,2692481
one,Kleb,2-Cm,1600000,4,1598210,1598211
one,Kleb,2-Cm,2500000,4,2499730,2499731
one,Kleb,2-Cm,700000,4,699340,699341
one,Kleb,3-ATet,0,0,0,1
one,Kleb,3-ATet,5000,1,4740,4741
one,Kleb,3-ATet,4000,1,4000,4001
one,Kleb,3-ATet,1000,1,900,901
one,Kleb,3-ATet,900,2,880,881
one,Kleb,3-ATet,2700,2,1460,1461
one,Kleb,3-ATet,2100,2,1140,1141
one,Kleb,3-ATet,40000,3,39980,39981
one,Kleb,3-ATet,60000,3,58560,58561
one,Kleb,3-ATet,100000,3,92480,92481
one,Kleb,3-ATet,6000,4,4210,4211
one,Kleb,3-ATet,10000,4,9730,9731
one,Kleb,3-ATet,36000,4,35340,35341
one,Kleb,4-Both,0,0,0,1
one,Kleb,4-Both,260,1,260,261
one,Kleb,4-Both,0,1,0,1
one,Kleb,4-Both,100,1,100,101
one,Kleb,4-Both,20,2,20,21
one,Kleb,4-Both,1240,2,1240,1241
one,Kleb,4-Both,960,2,960,961
one,Kleb,4-Both,20,3,20,21
one,Kleb,4-Both,1440,3,1440,1441
one,Kleb,4-Both,7520,3,7520,7521
one,Kleb,4-Both,1790,4,1790,1791
one,Kleb,4-Both,270,4,270,271
one,Kleb,4-Both,660,4,660,661
one,Kleb,1-LB,1400000000,0,0,1
one,Kleb,1-LB,60000000,1,59095260,59095261
one,Kleb,1-LB,60000000,1,58996000,58996001
one,Kleb,1-LB,70000000,1,67999100,67999101
one,Kleb,1-LB,770000000,2,768899120,768899121
one,Kleb,1-LB,1280000000,2,1276898540,1276898541
one,Kleb,1-LB,530000000,2,527698860,527698861
one,Kleb,1-LB,1540000000,3,1539060020,1539060021
one,Kleb,1-LB,1310000000,3,1305041440,1305041441
one,Kleb,1-LB,1100000000,3,1097207520,1097207521
one,Kleb,1-LB,1890000000,4,1888395790,1888395791
one,Kleb,1-LB,1140000000,4,1137490270,1137490271
one,Kleb,1-LB,1250000000,4,1249264660,1249264661
