Mixture,Host,Antibiotic,CFUs,Day,,CFUs_sub,,,,,,,
three,Ecoli,4-Both,0,0,0,1.3,,,,,,,
three,Ecoli,4-Both,0,1,0,1.3,,,,,,,
three,Ecoli,4-Both,0,1,0,1.3,,,,,,,
three,Ecoli,4-Both,0,1,0,1.3,,,,,,,
three,Ecoli,4-Both,0,2,0,1.3,,,,,,,
three,Ecoli,4-Both,0,2,0,1.3,,,,,,,
three,Ecoli,4-Both,0,2,0,1.3,,,,,,,
three,Ecoli,4-Both,0,3,0,1.3,,,,,,,
three,Ecoli,4-Both,0,3,0,1.3,,,,,,,
three,Ecoli,4-Both,0,3,0,1.3,,,,,,,
three,Ecoli,4-Both,0,4,0,1.3,,,,,,,
three,Ecoli,4-Both,0,4,0,1.3,,,,,,,
three,Ecoli,4-Both,0,4,0,1.3,,,,,,,
three,Ecoli,2-Cm,0,0,0,1,,,,,,,
three,Ecoli,2-Cm,0,1,0,1,,,,,,,
three,Ecoli,2-Cm,0,1,0,1,,,,,,,
three,Ecoli,2-Cm,0,1,0,1,,,,,,,
three,Ecoli,2-Cm,0,2,0,1,,,,,,,
three,Ecoli,2-Cm,0,2,0,1,,,,,,,
three,Ecoli,2-Cm,0,2,0,1,,,,,,,
three,Ecoli,2-Cm,0,3,0,1,,,,,,,
three,Ecoli,2-Cm,0,3,0,1,,,,,,,
three,Ecoli,2-Cm,0,3,0,1,,,,,,,
three,Ecoli,2-Cm,0,4,0,1,,,,,,,
three,Ecoli,2-Cm,0,4,0,1,,,,,,,
three,Ecoli,2-Cm,0,4,0,1,,,,,,,
three,Ecoli,3-Tet,640000000,0,640000000,640000001,,,,,,,
three,Ecoli,3-Tet,260000000,1,260000000,260000001,,,,,,,
three,Ecoli,3-Tet,130000000,1,130000000,130000001,,,,,,,
three,Ecoli,3-Tet,150000000,1,150000000,150000001,,,,,,,
three,Ecoli,3-Tet,450000000,2,450000000,450000001,,,,,,,
three,Ecoli,3-Tet,500000000,2,500000000,500000001,,,,,,,
three,Ecoli,3-Tet,200000000,2,200000000,200000001,,,,,,,
three,Ecoli,3-Tet,141000000,3,141000000,141000001,,,,,,,
three,Ecoli,3-Tet,138000000,3,138000000,138000001,,,,,,,
three,Ecoli,3-Tet,163000000,3,163000000,163000001,,,,,,,
three,Ecoli,3-Tet,193000000,4,193000000,193000001,,,,,,,
three,Ecoli,3-Tet,144000000,4,144000000,144000001,,,,,,,
three,Ecoli,3-Tet,123000000,4,123000000,123000001,,,,,,,
three,Ecoli,1-LB,476000000,0,-164000000,1.5,,,,,,,
three,Ecoli,1-LB,150000000,1,-110000000,1.5,,,,,,,
three,Ecoli,1-LB,150000000,1,20000000,1.5,,,,,,,
three,Ecoli,1-LB,210000000,1,60000000,1.5,,,,,,,
three,Ecoli,1-LB,350000000,2,-100000000,1.5,,,,,,,
three,Ecoli,1-LB,190000000,2,-310000000,1.5,,,,,,,
three,Ecoli,1-LB,270000000,2,70000000,1.5,,,,,,,
three,Ecoli,1-LB,150000000,3,9000000,1.5,,,,,,,
three,Ecoli,1-LB,170000000,3,32000000,1.5,,,,,,,
three,Ecoli,1-LB,100000000,3,-63000000,1.5,,,,,,,
three,Ecoli,1-LB,138000000,4,-55000000,1.5,,,,,,,
three,Ecoli,1-LB,136000000,4,-8000000,1.5,,,,,,,
three,Ecoli,1-LB,98000000,4,-25000000,1.5,,,,,,,
three,Kleb,4-Both,0,0,0,1,,,,,,,
three,Kleb,4-Both,560000,1,560000,560001,,,,,,,
three,Kleb,4-Both,1050000,1,1050000,1050001,,,,,,,
three,Kleb,4-Both,820000,1,820000,820001,,,,,,,
three,Kleb,4-Both,74000,2,74000,74001,,,,,,,
three,Kleb,4-Both,457000,2,457000,457001,,,,,,,
three,Kleb,4-Both,138000,2,138000,138001,,,,,,,
three,Kleb,4-Both,3920000,3,3920000,3920001,,,,,,,
three,Kleb,4-Both,4980000,3,4980000,4980001,,,,,,,
three,Kleb,4-Both,3250000,3,3250000,3250001,,,,,,,
three,Kleb,4-Both,4110000,4,4110000,4110001,,,,,,,
three,Kleb,4-Both,5160000,4,5160000,5160001,,,,,,,
three,Kleb,4-Both,3770000,4,3770000,3770001,,,,,,,
three,Kleb,1-LB,0,0,0,1,,,,,,,
three,Kleb,1-LB,840000000,1,609320000,609320001,,,,,,,
three,Kleb,1-LB,800000000,1,578250000,578250001,,,,,,,
three,Kleb,1-LB,970000000,1,628500000,628500001,,,,,,,
three,Kleb,1-LB,2090000000,2,987494000,987494001,,,,,,,
three,Kleb,1-LB,1690000000,2,1034697000,1034697001,,,,,,,
three,Kleb,1-LB,570000000,2,-429022000,-429021999,,,,,,,
three,Kleb,1-LB,1920000000,4,1601210000,1601210001,,,,,,,
three,Kleb,1-LB,1920000000,4,1443960000,1443960001,,,,,,,
three,Kleb,1-LB,1910000000,4,1581070000,1581070001,,,,,,,
three,Kleb,2-Cm,2090000000,0,2090000000,2090000001,,,,,,,
three,Kleb,2-Cm,230000000,1,229440000,229440001,,,,,,,
three,Kleb,2-Cm,220000000,1,218950000,218950001,,,,,,,
three,Kleb,2-Cm,340000000,1,339180000,339180001,,,,,,,
three,Kleb,2-Cm,1100000000,2,1099926000,1099926001,,,,,,,
three,Kleb,2-Cm,644000000,2,643543000,643543001,,,,,,,
three,Kleb,2-Cm,996000000,2,995862000,995862001,,,,,,,
three,Kleb,2-Cm,311000000,4,306890000,306890001,,,,,,,
three,Kleb,2-Cm,473000000,4,467840000,467840001,,,,,,,
three,Kleb,2-Cm,326000000,4,322230000,322230001,,,,,,,
