Colonies Picked,Plasmid Containing,Fraction_P,Strain,Day
50,50,1,29anc_alone,0
50,16,0.32,29anc_alone,1
50,10,0.2,29anc_alone,2
50,2,0.04,29anc_alone,3
50,2,0.04,29anc_alone,6
50,0,0,29anc_alone,9
44,44,1,29anc_alone,0
50,15,0.3,29anc_alone,1
50,7,0.14,29anc_alone,2
50,5,0.1,29anc_alone,3
50,1,0.02,29anc_alone,6
50,0,0,29anc_alone,9
50,50,1,29anc_alone,0
50,11,0.22,29anc_alone,1
50,15,0.3,29anc_alone,2
50,12,0.24,29anc_alone,3
50,0,0,29anc_alone,6
50,0,0,29anc_alone,9
50,50,1,29evo_alone,0
50,49,0.98,29evo_alone,3
50,47,0.94,29evo_alone,6
50,41,0.82,29evo_alone,9
50,50,1,29evo_alone,0
50,47,0.94,29evo_alone,3
50,44,0.88,29evo_alone,6
50,42,0.84,29evo_alone,9
50,50,1,29evo_alone,0
50,49,0.98,29evo_alone,3
50,45,0.9,29evo_alone,6
50,46,0.92,29evo_alone,9
