Colonies Picked,Plasmid Containing,Fraction_P,Strain,Day
50,48,0.96,28anc_alone,0
50,9,0.18,28anc_alone,1
50,0,0,28anc_alone,2
50,1,0.02,28anc_alone,3
50,0,0,28anc_alone,6
50,0,0,28anc_alone,9
50,49,0.98,28anc_alone,0
50,32,0.64,28anc_alone,1
50,1,0.02,28anc_alone,2
50,8,0.16,28anc_alone,3
50,1,0.02,28anc_alone,6
50,0,0,28anc_alone,9
50,47,0.94,28anc_alone,0
50,19,0.38,28anc_alone,1
50,2,0.04,28anc_alone,2
50,0,0,28anc_alone,3
50,0,0,28anc_alone,6
50,0,0,28anc_alone,9
48,48,1,28evo_in29segregent,0
50,33,0.66,28evo_in29segregent,3
50,29,0.58,28evo_in29segregent,6
50,13,0.26,28evo_in29segregent,9
50,49,0.98,28evo_in29segregent,0
47,36,0.765957447,28evo_in29segregent,3
50,24,0.48,28evo_in29segregent,6
50,18,0.36,28evo_in29segregent,9
50,49,0.98,28evo_in29segregent,0
50,39,0.78,28evo_in29segregent,3
50,15,0.3,28evo_in29segregent,6
50,13,0.26,28evo_in29segregent,9
