Colonies Picked,Plasmid Containing,Fraction_P,Strain,Day
50,50,1,29anc_wForced28,0
50,42,0.84,29anc_wForced28,3
9,2,0.222222222,29anc_wForced28,6
50,7,0.14,29anc_wForced28,9
50,50,1,29anc_wForced28,0
50,32,0.64,29anc_wForced28,3
22,5,0.227272727,29anc_wForced28,6
50,12,0.24,29anc_wForced28,9
50,50,1,29anc_wForced28,0
50,43,0.86,29anc_wForced28,3
32,15,0.46875,29anc_wForced28,6
50,12,0.24,29anc_wForced28,9
50,50,1,29evo_wForced28_29,0
50,44,0.88,29evo_wForced28_29,3
50,41,0.82,29evo_wForced28_29,6
50,18,0.36,29evo_wForced28_29,9
50,50,1,29evo_wForced28_29,0
50,46,0.92,29evo_wForced28_29,3
50,29,0.58,29evo_wForced28_29,6
50,26,0.52,29evo_wForced28_29,9
50,50,1,29evo_wForced28_29,0
50,44,0.88,29evo_wForced28_29,3
50,26,0.52,29evo_wForced28_29,6
50,15,0.3,29evo_wForced28_29,9
