Colonies Picked,Plasmid Containing,Fraction_P,Strain,Day
39,39,1,ForcedAnc29,0
50,24,0.48,ForcedAnc29,3
50,17,0.34,ForcedAnc29,6
50,23,0.46,ForcedAnc29,9
35,35,1,ForcedAnc29,0
50,29,0.58,ForcedAnc29,3
50,23,0.46,ForcedAnc29,6
50,23,0.46,ForcedAnc29,9
50,50,1,ForcedAnc29,0
50,39,0.78,ForcedAnc29,3
50,25,0.5,ForcedAnc29,6
50,27,0.54,ForcedAnc29,9
50,50,1,28evo_wForced29_29,0
50,35,0.7,28evo_wForced29_29,3
50,24,0.48,28evo_wForced29_29,6
50,10,0.2,28evo_wForced29_29,9
50,49,0.98,28evo_wForced29_29,0
50,40,0.8,28evo_wForced29_29,3
50,37,0.74,28evo_wForced29_29,6
50,39,0.78,28evo_wForced29_29,9
50,49,0.98,28evo_wForced29_29,0
50,37,0.74,28evo_wForced29_29,3
50,27,0.54,28evo_wForced29_29,6
43,20,0.465116279,28evo_wForced29_29,9
