Colonies Picked,Plasmid Containing,Fraction_P,Strain,Day
50,48,0.96,28anc_alone,0
50,9,0.18,28anc_alone,1
50,0,0,28anc_alone,2
50,1,0.02,28anc_alone,3
50,0,0,28anc_alone,6
50,0,0,28anc_alone,9
50,49,0.98,28anc_alone,0
50,32,0.64,28anc_alone,1
50,1,0.02,28anc_alone,2
50,8,0.16,28anc_alone,3
50,1,0.02,28anc_alone,6
50,0,0,28anc_alone,9
50,47,0.94,28anc_alone,0
50,19,0.38,28anc_alone,1
50,2,0.04,28anc_alone,2
50,0,0,28anc_alone,3
50,0,0,28anc_alone,6
50,0,0,28anc_alone,9
50,50,1,28evo_alone,0
50,41,0.82,28evo_alone,3
50,27,0.54,28evo_alone,6
50,17,0.34,28evo_alone,9
50,50,1,28evo_alone,0
50,43,0.86,28evo_alone,3
50,29,0.58,28evo_alone,6
50,12,0.24,28evo_alone,9
50,49,0.98,28evo_alone,0
50,41,0.82,28evo_alone,3
50,34,0.68,28evo_alone,6
50,27,0.54,28evo_alone,9
