Colonies Picked,Plasmid Containing,Fraction_P,Strain,Day
50,50,1,29anc_wForced28,0
50,42,0.84,29anc_wForced28,3
9,2,0.222222222,29anc_wForced28,6
50,7,0.14,29anc_wForced28,9
50,50,1,29anc_wForced28,0
50,32,0.64,29anc_wForced28,3
22,5,0.227272727,29anc_wForced28,6
50,12,0.24,29anc_wForced28,9
50,50,1,29anc_wForced28,0
50,43,0.86,29anc_wForced28,3
32,15,0.46875,29anc_wForced28,6
50,12,0.24,29anc_wForced28,9
50,50,1,29evo_wForced28_28,0
50,45,0.9,29evo_wForced28_28,3
50,21,0.42,29evo_wForced28_28,6
50,12,0.24,29evo_wForced28_28,9
50,50,1,29evo_wForced28_28,0
50,42,0.84,29evo_wForced28_28,3
50,24,0.48,29evo_wForced28_28,6
50,12,0.24,29evo_wForced28_28,9
50,50,1,29evo_wForced28_28,0
50,41,0.82,29evo_wForced28_28,3
50,20,0.4,29evo_wForced28_28,6
50,10,0.2,29evo_wForced28_28,9
