Colonies Picked,Plasmid Containing,Fraction_P,Strain,Day
39,39,1,28anc_wForced29,0
50,24,0.48,28anc_wForced29,3
50,17,0.34,28anc_wForced29,6
50,23,0.46,28anc_wForced29,9
35,35,1,28anc_wForced29,0
50,29,0.58,28anc_wForced29,3
50,23,0.46,28anc_wForced29,6
50,23,0.46,28anc_wForced29,9
50,50,1,28anc_wForced29,0
50,39,0.78,28anc_wForced29,3
50,25,0.5,28anc_wForced29,6
50,27,0.54,28anc_wForced29,9
50,50,1,28evo_wForced29_28,0
50,36,0.72,28evo_wForced29_28,3
50,23,0.46,28evo_wForced29_28,6
50,11,0.22,28evo_wForced29_28,9
49,48,0.979591837,28evo_wForced29_28,0
50,38,0.76,28evo_wForced29_28,3
50,20,0.4,28evo_wForced29_28,6
50,12,0.24,28evo_wForced29_28,9
50,50,1,28evo_wForced29_28,0
50,42,0.84,28evo_wForced29_28,3
50,17,0.34,28evo_wForced29_28,6
50,13,0.26,28evo_wForced29_28,9
