Colonies_picked,Plasmid_containing,Plasmid_free,Fraction_P,state,Strain,Full Strain Description,Day,Rep,Legend
22,22,0,1,ancestor,ancestor,KlebP/29_anc,0,1,ancestor
50,3,47,0.06,ancestor,ancestor,KlebP/29_anc,3,,ancestor
50,0,50,0,ancestor,ancestor,KlebP/29_anc,6,,ancestor
42,0,42,0,ancestor,ancestor,KlebP/29_anc,9,,ancestor
12,12,0,1,ancestor,ancestor,KlebP/29_anc,0,2,ancestor
50,0,50,0,ancestor,ancestor,KlebP/29_anc,3,,ancestor
50,0,50,0,ancestor,ancestor,KlebP/29_anc,6,,ancestor
50,0,50,0,ancestor,ancestor,KlebP/29_anc,9,,ancestor
14,13,1,0.928571429,ancestor,ancestor,KlebP/29_anc,0,3,ancestor
50,0,50,0,ancestor,ancestor,KlebP/29_anc,3,,ancestor
50,0,50,0,ancestor,ancestor,KlebP/29_anc,6,,ancestor
50,0,50,0,ancestor,ancestor,KlebP/29_anc,9,,ancestor
36,36,0,1,evolved,clone 1,KlebP/29_1,0,1,evolved
49,41,8,0.836734694,evolved,clone 1,KlebP/29_1,3,,evolved
50,31,19,0.62,evolved,clone 1,KlebP/29_1,6,,evolved
50,37,13,0.74,evolved,clone 1,KlebP/29_1,9,,evolved
32,32,0,1,evolved,clone 1,KlebP/29_1,0,2,evolved
50,42,8,0.84,evolved,clone 1,KlebP/29_1,3,,evolved
50,38,12,0.76,evolved,clone 1,KlebP/29_1,6,,evolved
50,37,13,0.74,evolved,clone 1,KlebP/29_1,9,,evolved
25,25,0,1,evolved,clone 1,KlebP/29_1,0,3,evolved
50,41,9,0.82,evolved,clone 1,KlebP/29_1,3,,evolved
50,32,18,0.64,evolved,clone 1,KlebP/29_1,6,,evolved
50,36,14,0.72,evolved,clone 1,KlebP/29_1,9,,evolved
37,37,0,1,evolved,clone 2,KlebP/29_2,0,1,evolved
50,50,0,1,evolved,clone 2,KlebP/29_2,3,,evolved
50,50,0,1,evolved,clone 2,KlebP/29_2,6,,evolved
50,45,5,0.9,evolved,clone 2,KlebP/29_2,9,,evolved
17,17,0,1,evolved,clone 2,KlebP/29_2,0,2,evolved
50,50,0,1,evolved,clone 2,KlebP/29_2,3,,evolved
50,50,0,1,evolved,clone 2,KlebP/29_2,6,,evolved
50,44,6,0.88,evolved,clone 2,KlebP/29_2,9,,evolved
35,35,0,1,evolved,clone 2,KlebP/29_2,0,3,evolved
50,48,2,0.96,evolved,clone 2,KlebP/29_2,3,,evolved
50,50,0,1,evolved,clone 2,KlebP/29_2,6,,evolved
50,50,0,1,evolved,clone 2,KlebP/29_2,9,,evolved
22,22,0,1,evolved,clone 3,KlebP/29_3,0,1,evolved
50,36,14,0.72,evolved,clone 3,KlebP/29_3,3,,evolved
50,28,22,0.56,evolved,clone 3,KlebP/29_3,6,,evolved
50,23,27,0.46,evolved,clone 3,KlebP/29_3,9,,evolved
28,28,0,1,evolved,clone 3,KlebP/29_3,0,2,evolved
50,36,14,0.72,evolved,clone 3,KlebP/29_3,3,,evolved
50,10,40,0.2,evolved,clone 3,KlebP/29_3,6,,evolved
50,0,50,0,evolved,clone 3,KlebP/29_3,9,,evolved
30,30,0,1,evolved,clone 3,KlebP/29_3,0,3,evolved
50,36,14,0.72,evolved,clone 3,KlebP/29_3,3,,evolved
50,33,17,0.66,evolved,clone 3,KlebP/29_3,6,,evolved
50,39,11,0.78,evolved,clone 3,KlebP/29_3,9,,evolved
50,50,0,1,evolved,clone 4,KlebP/29_4,0,1,evolved
