Strain,replicate,Day,n_A,n_Aa,Fraction_P
Evolved,1,0,0,10000,1
Evolved,1,1,1287,8778,0.872131148
Evolved,1,2,2086,7947,0.792086116
Evolved,1,3,2097,7982,0.791943645
Evolved,1,4,2685,7420,0.734289955
Evolved,1,5,3522,6616,0.6525942
Evolved,1,6,4110,6028,0.594594595
Evolved,1,7,4822,5216,0.519625423
Evolved,1,8,5549,4596,0.45303105
Evolved,1,9,5067,5076,0.500443656
Evolved,2,0,0,10000,1
Evolved,2,1,1529,8534,0.848057239
Evolved,2,2,2490,7411,0.748510251
Evolved,2,3,3442,6712,0.661020288
Evolved,2,4,4140,5813,0.584045012
Evolved,2,5,4228,5823,0.579345339
Evolved,2,6,4790,5227,0.521812918
Evolved,2,7,5067,5051,0.49920933
Evolved,2,8,4908,5285,0.518493083
Evolved,2,9,5859,3958,0.40317816
Evolved,3,0,0,10000,1
Evolved,3,1,1560,8304,0.841849148
Evolved,3,2,3219,6789,0.678357314
Evolved,3,3,3543,6473,0.646265974
Evolved,3,4,4209,5869,0.582357611
Evolved,3,5,4513,5452,0.547114902
Evolved,3,6,4591,5495,0.544814594
Evolved,3,7,5063,5091,0.501378767
Evolved,3,8,5978,4143,0.409346902
Evolved,3,9,6717,3328,0.331309109
Evolved,4,0,0,10000,1
Evolved,4,1,1814,8063,0.816340994
Evolved,4,2,2652,7401,0.73619815
Evolved,4,3,3124,7051,0.692972973
Evolved,4,4,3430,6692,0.661134163
Evolved,4,5,3085,6791,0.687626569
Evolved,4,6,3608,6529,0.644076157
Evolved,4,7,3284,6847,0.675846412
Evolved,4,8,3917,6263,0.615225933
Evolved,4,9,4284,5655,0.568970721
Evolved,5,0,0,10000,1
Evolved,5,1,1541,8417,0.84525005
Evolved,5,2,2947,6958,0.702473498
Evolved,5,3,3772,6317,0.626127466
Evolved,5,4,3824,6020,0.611540024
Evolved,5,5,4970,5088,0.505865977
Evolved,5,6,5601,4494,0.445170877
Evolved,5,7,6183,3853,0.383917896
Evolved,5,8,6306,3536,0.35927657
Evolved,5,9,6857,3260,0.32222991
Evolved,6,0,0,10000,1
Evolved,6,1,1568,8545,0.844952042
Evolved,6,2,2509,7623,0.752368733
Evolved,6,3,2809,6939,0.711838326
Evolved,6,4,3774,6340,0.626853866
Evolved,6,5,3905,6164,0.612175986
Evolved,6,6,4680,5425,0.536862939
Evolved,6,7,4782,5285,0.524982616
Evolved,6,8,4470,5645,0.558082056
Evolved,6,9,5117,5063,0.497347741
Evolved,7,0,0,10000,1
Evolved,7,1,1543,8539,0.846954969
Evolved,7,2,1899,8033,0.808799839
Evolved,7,3,2266,7856,0.776131199
Evolved,7,4,2493,7493,0.750350491
Evolved,7,5,3409,6695,0.662608868
Evolved,7,6,4383,5707,0.565609514
Evolved,7,7,4101,5998,0.59392019
Evolved,7,8,3790,6300,0.624380575
Evolved,7,9,4412,5561,0.557605535
Evolved,8,0,0,10000,1
Evolved,8,1,1609,8405,0.839324945
Evolved,8,2,2825,7138,0.716450868
Evolved,8,3,3579,6479,0.64416385
Evolved,8,4,3968,6222,0.610598626
Evolved,8,5,4635,5439,0.539904705
Evolved,8,6,5439,4663,0.461591764
Evolved,8,7,6291,3751,0.373531169
Evolved,8,8,6763,3091,0.313679724
Evolved,8,9,6778,3247,0.323890274
Evolved,9,0,0,10000,1
Evolved,9,1,1487,8632,0.85304872
Evolved,9,2,2548,7578,0.748370531
Evolved,9,3,3243,6765,0.675959233
Evolved,9,4,3820,6214,0.619294399
Evolved,9,5,4297,5809,0.574807045
Evolved,9,6,4129,5942,0.590010922
Evolved,9,7,4475,5379,0.545869698
Evolved,9,8,4819,4969,0.507662444
Evolved,9,9,6215,3774,0.377815597
Evolved,10,0,0,10000,1
Evolved,10,1,1775,8256,0.823048549
Evolved,10,2,2553,7376,0.742874408
Evolved,10,3,3483,6368,0.646431834
Evolved,10,4,4063,5979,0.595399323
Evolved,10,5,4079,5801,0.587145749
Evolved,10,6,4437,5674,0.561171002
Evolved,10,7,5246,4800,0.47780211
Evolved,10,8,5570,4380,0.440201005
Evolved,10,9,6517,3566,0.353664584
