Strain,replicate,Day,n_A,n_Aa,Fraction_P
Ancestor,1,0,0,10000,1
Ancestor,1,1,794,3968,0.833263335
Ancestor,1,2,1289,2152,0.625399593
Ancestor,1,3,3598,1060,0.227565479
Ancestor,1,4,7071,533,0.070094687
Ancestor,1,5,9484,181,0.018727367
Ancestor,1,6,10026,116,0.011437586
Ancestor,1,7,9916,0,0
Ancestor,1,8,10039,0,0
Ancestor,1,9,10061,0,0
Ancestor,2,0,0,10000,1
Ancestor,2,1,1068,4590,0.811240721
Ancestor,2,2,3554,1590,0.309097978
Ancestor,2,3,5965,956,0.138130328
Ancestor,2,4,8775,414,0.045053869
Ancestor,2,5,9844,101,0.010155857
Ancestor,2,6,9828,0,0
Ancestor,2,7,9929,0,0
Ancestor,2,8,10070,0,0
Ancestor,2,9,10001,0,0
Ancestor,3,0,0,10000,1
Ancestor,3,1,1161,4237,0.784920341
Ancestor,3,2,1691,1691,0.5
Ancestor,3,3,4694,302,0.060448359
Ancestor,3,4,6474,50,0.00766401
Ancestor,3,5,9251,0,0
Ancestor,3,6,10000,0,0
Ancestor,3,7,10071,0,0
Ancestor,3,8,10053,0,0
Ancestor,3,9,10196,0,0
Ancestor,4,0,0,10000,1
Ancestor,4,1,1232,4001,0.764570992
Ancestor,4,2,3260,1461,0.309468333
Ancestor,4,3,6153,903,0.12797619
Ancestor,4,4,9320,297,0.030882812
Ancestor,4,5,10023,108,0.010660349
Ancestor,4,6,10110,50,0.00492126
Ancestor,4,7,10119,5,0.000493876
Ancestor,4,8,9989,0,0
Ancestor,4,9,9617,0,0
Ancestor,5,0,0,10000,1
Ancestor,5,1,1489,4185,0.737574903
Ancestor,5,2,4686,1853,0.283376663
Ancestor,5,3,7322,1242,0.145025689
Ancestor,5,4,9218,714,0.071888844
Ancestor,5,5,9857,235,0.023285771
Ancestor,5,6,9590,75,0.007759959
Ancestor,5,7,10011,21,0.002093301
Ancestor,5,8,10166,21,0.002061451
Ancestor,5,9,9981,0,0
Ancestor,6,0,0,10000,1
Ancestor,6,1,1206,4396,0.784719743
Ancestor,6,2,2850,2425,0.45971564
Ancestor,6,3,6884,1126,0.140574282
Ancestor,6,4,9392,514,0.051887745
Ancestor,6,5,9766,258,0.025738228
Ancestor,6,6,9881,163,0.016228594
Ancestor,6,7,10092,10,0.000989903
Ancestor,6,8,10034,29,0.002881844
Ancestor,6,9,10096,0,0
Ancestor,7,0,0,10000,1
Ancestor,7,1,1564,4109,0.724308126
Ancestor,7,2,3086,1973,0.389998023
Ancestor,7,3,4032,597,0.12896954
Ancestor,7,4,6731,196,0.028295077
Ancestor,7,5,8877,45,0.005043712
Ancestor,7,6,10040,0,0
Ancestor,7,7,10067,0,0
Ancestor,7,8,10029,0,0
Ancestor,7,9,10165,0,0
Ancestor,8,0,0,10000,1
Ancestor,8,1,1297,4159,0.762280059
Ancestor,8,2,2177,2290,0.51264831
Ancestor,8,3,3752,1071,0.222060958
Ancestor,8,4,6945,584,0.077566742
Ancestor,8,5,8073,224,0.02699771
Ancestor,8,6,9785,31,0.003158109
Ancestor,8,7,9958,31,0.003103414
Ancestor,8,8,10114,21,0.002072028
Ancestor,8,9,10100,0,0
Ancestor,9,0,0,10000,1
Ancestor,9,1,1150,4160,0.783427495
Ancestor,9,2,2859,1636,0.363959956
Ancestor,9,3,4653,772,0.142304147
Ancestor,9,4,6858,120,0.017196905
Ancestor,9,5,9127,108,0.01169464
Ancestor,9,6,10003,38,0.003784484
Ancestor,9,7,9922,0,0
Ancestor,9,8,9880,0,0
Ancestor,9,9,10180,0,0
Ancestor,10,0,0,10000,1
Ancestor,10,1,1473,4628,0.75856417
Ancestor,10,2,2333,2223,0.487928007
Ancestor,10,3,5060,1279,0.20176684
Ancestor,10,4,7626,834,0.09858156
Ancestor,10,5,9626,342,0.034309791
Ancestor,10,6,9702,66,0.006756757
Ancestor,10,7,10023,11,0.001096273
Ancestor,10,8,9869,0,0
Ancestor,10,9,10091,0,0
