Antibiotic ,CFUs_sub,Host,replicate,Day,n_A,n_Aa,n_Ab,n_Aab,n_B,n_Ba,n_Bb,n_Bab
1-PF,0,B,1,0,0,5000,0,0,0,0,5000,0
1-PF,719,B,1,1,719,3824,100,363,771,85,3760,447
1-PF,1721,B,1,2,1721,3575,210,321,761,93,2943,368
1-PF,2545,B,1,3,2545,3397,213,333,979,123,2255,223
1-PF,3730,B,1,4,3730,2518,238,211,1128,79,2062,182
1-PF,0,B,2,0,0,5000,0,0,0,0,5000,0
1-PF,903,B,2,1,903,3764,99,367,922,96,3595,388
1-PF,1497,B,2,2,1497,3551,150,448,1286,103,2598,257
1-PF,2096,B,2,3,2096,3363,143,380,1868,169,1676,205
1-PF,3317,B,2,4,3317,2296,123,135,2485,108,1271,79
1-PF,0,B,3,0,0,5000,0,0,0,0,5000,0
1-PF,779,B,3,1,779,4451,50,378,432,58,3424,432
1-PF,1580,B,3,2,1580,3944,122,323,941,129,2602,408
1-PF,1443,B,3,3,1443,3133,255,382,1442,136,2879,236
1-PF,1895,B,3,4,1895,2446,213,240,1636,156,3121,220
1-PF,0,B,4,0,0,5000,0,0,0,0,5000,0
1-PF,632,B,4,1,632,3390,77,319,1011,64,4180,329
1-PF,1204,B,4,2,1204,3040,160,322,1573,144,3225,358
1-PF,1869,B,4,3,1869,2648,159,265,2054,167,2600,275
1-PF,2044,B,4,4,2044,2256,129,170,3106,182,1936,107
1-PF,0,B,5,0,0,5000,0,0,0,0,5000,0
1-PF,802,B,5,1,802,4643,44,328,480,68,3150,391
1-PF,1380,B,5,2,1380,3937,121,314,868,127,2633,321
1-PF,1982,B,5,3,1982,3892,116,249,1365,128,2020,318
1-PF,2637,B,5,4,2637,3771,138,147,1328,134,1654,172
1-PF,0,B,6,0,0,5000,0,0,0,0,5000,0
1-PF,803,B,6,1,803,3926,52,287,677,48,3693,376
1-PF,1514,B,6,2,1514,4408,97,285,949,112,2103,394
1-PF,2452,B,6,3,2452,3541,144,336,1201,149,1991,263
1-PF,2858,B,6,4,2858,3402,179,219,1227,157,1586,206
1-PF,0,B,7,0,0,5000,0,0,0,0,5000,0
1-PF,775,B,7,1,775,3828,79,428,569,64,3949,384
1-PF,1615,B,7,2,1615,2464,285,380,1282,120,3518,404
1-PF,1685,B,7,3,1685,2071,270,410,2110,105,3027,197
1-PF,2128,B,7,4,2128,1955,190,228,2212,162,2749,192
1-PF,0,B,8,0,0,5000,0,0,0,0,5000,0
1-PF,820,B,8,1,820,3422,91,330,943,74,3808,312
1-PF,849,B,8,2,849,2907,142,534,1331,135,3617,397
1-PF,1043,B,8,3,1043,2115,193,364,1794,89,3819,338
1-PF,1065,B,8,4,1065,1516,161,241,2315,85,4274,296
1-PF,0,B,9,0,0,5000,0,0,0,0,5000,0
1-PF,1119,B,9,1,1119,3396,129,313,635,41,3951,311
1-PF,1489,B,9,2,1489,3040,164,285,1440,137,3075,345
1-PF,2043,B,9,3,2043,2575,165,256,2013,235,2470,336
1-PF,2240,B,9,4,2240,1407,224,227,2598,162,2767,229
1-PF,0,B,10,0,0,5000,0,0,0,0,5000,0
1-PF,687,B,10,1,687,3973,64,403,595,48,3833,382
1-PF,1315,B,10,2,1315,3292,172,433,956,126,3187,450
1-PF,1913,B,10,3,1913,2659,188,353,1473,107,3035,364
1-PF,2370,B,10,4,2370,1384,216,202,2312,70,3242,230
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3824,B,,1,,,,,,,,
2-Spa,3575,B,,2,,,,,,,,
2-Spa,3397,B,,3,,,,,,,,
2-Spa,2518,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3764,B,,1,,,,,,,,
2-Spa,3551,B,,2,,,,,,,,
2-Spa,3363,B,,3,,,,,,,,
2-Spa,2296,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,4451,B,,1,,,,,,,,
2-Spa,3944,B,,2,,,,,,,,
2-Spa,3133,B,,3,,,,,,,,
2-Spa,2446,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3390,B,,1,,,,,,,,
2-Spa,3040,B,,2,,,,,,,,
2-Spa,2648,B,,3,,,,,,,,
2-Spa,2256,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,4643,B,,1,,,,,,,,
2-Spa,3937,B,,2,,,,,,,,
2-Spa,3892,B,,3,,,,,,,,
2-Spa,3771,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3926,B,,1,,,,,,,,
2-Spa,4408,B,,2,,,,,,,,
2-Spa,3541,B,,3,,,,,,,,
2-Spa,3402,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3828,B,,1,,,,,,,,
2-Spa,2464,B,,2,,,,,,,,
2-Spa,2071,B,,3,,,,,,,,
2-Spa,1955,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3422,B,,1,,,,,,,,
2-Spa,2907,B,,2,,,,,,,,
2-Spa,2115,B,,3,,,,,,,,
2-Spa,1516,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3396,B,,1,,,,,,,,
2-Spa,3040,B,,2,,,,,,,,
2-Spa,2575,B,,3,,,,,,,,
2-Spa,1407,B,,4,,,,,,,,
2-Spa,5000,B,,0,,,,,,,,
2-Spa,3973,B,,1,,,,,,,,
2-Spa,3292,B,,2,,,,,,,,
2-Spa,2659,B,,3,,,,,,,,
2-Spa,1384,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,100,B,,1,,,,,,,,
3-SPb,210,B,,2,,,,,,,,
3-SPb,213,B,,3,,,,,,,,
3-SPb,238,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,99,B,,1,,,,,,,,
3-SPb,150,B,,2,,,,,,,,
3-SPb,143,B,,3,,,,,,,,
3-SPb,123,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,50,B,,1,,,,,,,,
3-SPb,122,B,,2,,,,,,,,
3-SPb,255,B,,3,,,,,,,,
3-SPb,213,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,77,B,,1,,,,,,,,
3-SPb,160,B,,2,,,,,,,,
3-SPb,159,B,,3,,,,,,,,
3-SPb,129,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,44,B,,1,,,,,,,,
3-SPb,121,B,,2,,,,,,,,
3-SPb,116,B,,3,,,,,,,,
3-SPb,138,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,52,B,,1,,,,,,,,
3-SPb,97,B,,2,,,,,,,,
3-SPb,144,B,,3,,,,,,,,
3-SPb,179,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,79,B,,1,,,,,,,,
3-SPb,285,B,,2,,,,,,,,
3-SPb,270,B,,3,,,,,,,,
3-SPb,190,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,91,B,,1,,,,,,,,
3-SPb,142,B,,2,,,,,,,,
3-SPb,193,B,,3,,,,,,,,
3-SPb,161,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,129,B,,1,,,,,,,,
3-SPb,164,B,,2,,,,,,,,
3-SPb,165,B,,3,,,,,,,,
3-SPb,224,B,,4,,,,,,,,
3-SPb,0,B,,0,,,,,,,,
3-SPb,64,B,,1,,,,,,,,
3-SPb,172,B,,2,,,,,,,,
3-SPb,188,B,,3,,,,,,,,
3-SPb,216,B,,4,,,,,,,,
4-DP,0,B,,0,,,,,,,,
4-DP,363,B,,1,,,,,,,,
4-DP,321,B,,2,,,,,,,,
4-DP,333,B,,3,,,,,,,,
4-DP,211,B,,4,,,,,,,,
4-DP,0,B,,0,,,,,,,,
4-DP,367,B,,1,,,,,,,,
4-DP,448,B,,2,,,,,,,,
4-DP,380,B,,3,,,,,,,,
4-DP,135,B,,4,,,,,,,,
4-DP,0,B,,0,,,,,,,,
4-DP,378,B,,1,,,,,,,,
4-DP,323,B,,2,,,,,,,,
4-DP,382,B,,3,,,,,,,,
4-DP,240,B,,4,,,,,,,,
4-DP,0,B,,0,,,,,,,,
4-DP,319,B,,1,,,,,,,,
4-DP,322,B,,2,,,,,,,,
4-DP,265,B,,3,,,,,,,,
4-DP,170,B,,4,,,,,,,,
