Host,Antibiotic,SpecificType,CFUs_sub,replicate,Day,n_A,n_Aa,n_Ab,n_Aab,n_B,n_Ba,n_Bb,n_Bab
A,1-PF,n_A,0,1,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,492,1,1,492,1932,18,78,511,24,1761,45
A,1-PF,n_A,1462,1,2,1462,1386,25,40,979,96,1084,59
A,1-PF,n_A,2234,1,3,2234,835,65,28,1039,4,701,18
A,1-PF,n_A,3460,1,4,3460,512,40,10,2417,16,219,0
A,1-PF,n_A,0,2,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,725,2,1,725,2194,22,91,545,25,1918,103
A,1-PF,n_A,1489,2,2,1489,1167,146,36,995,8,877,21
A,1-PF,n_A,2872,2,3,2872,629,151,18,2180,20,374,3
A,1-PF,n_A,4126,2,4,4126,218,97,0,4832,27,181,0
A,1-PF,n_A,0,3,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,660,3,1,660,2034,17,87,462,11,1722,59
A,1-PF,n_A,1663,3,2,1663,685,86,32,1363,13,1062,20
A,1-PF,n_A,2559,3,3,2559,302,36,1,2595,14,435,2
A,1-PF,n_A,4802,3,4,4802,171,35,4,3577,30,197,1
A,1-PF,n_A,0,4,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,445,4,1,445,1923,16,78,865,19,2028,85
A,1-PF,n_A,1000,4,2,1000,616,33,22,1703,11,1030,33
A,1-PF,n_A,1581,4,3,1581,152,11,1,3808,4,517,7
A,1-PF,n_A,1867,4,4,1867,43,2,0,6877,23,88,0
A,1-PF,n_A,0,5,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,671,5,1,671,1987,21,90,709,42,1901,78
A,1-PF,n_A,1002,5,2,1002,1286,49,39,1770,61,1102,37
A,1-PF,n_A,1554,5,3,1554,362,14,4,3997,8,546,6
A,1-PF,n_A,3580,5,4,3580,205,15,2,4736,16,174,4
A,1-PF,n_A,0,6,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,772,6,1,772,2082,16,81,530,31,1774,70
A,1-PF,n_A,1975,6,2,1975,831,25,26,1980,20,536,13
A,1-PF,n_A,4635,6,3,4635,230,10,0,2760,7,174,1
A,1-PF,n_A,5314,6,4,5314,228,32,1,3990,40,206,4
A,1-PF,n_A,0,7,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,586,7,1,586,1825,19,70,773,21,2377,72
A,1-PF,n_A,864,7,2,864,848,58,39,1437,10,868,11
A,1-PF,n_A,2322,7,3,2322,365,33,3,1438,26,419,3
A,1-PF,n_A,4354,7,4,4354,90,106,0,2603,4,115,0
A,1-PF,n_A,0,8,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,560,8,1,560,1566,16,67,780,24,2149,70
A,1-PF,n_A,1644,8,2,1644,1115,29,22,2084,85,947,35
A,1-PF,n_A,3003,8,3,3003,577,34,9,3389,82,587,25
A,1-PF,n_A,4482,8,4,4482,93,47,2,4398,28,265,3
A,1-PF,n_A,0,9,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,640,9,1,640,1885,30,89,748,28,1913,72
A,1-PF,n_A,1643,9,2,1643,739,23,13,967,15,836,12
A,1-PF,n_A,2773,9,3,2773,292,27,0,1778,5,344,2
A,1-PF,n_A,4878,9,4,4878,226,97,0,2164,4,33,0
A,1-PF,n_A,0,10,0,0,5000,0,0,0,0,5000,0
A,1-PF,n_A,754,10,1,754,1992,65,94,705,36,2123,76
A,1-PF,n_A,1058,10,2,1058,1156,21,49,975,44,728,36
A,1-PF,n_A,2103,10,3,2103,385,7,2,2349,78,180,12
A,1-PF,n_A,4682,10,4,4682,111,4,1,3665,119,71,0
A,2-Spa,n_Aa,5000,,0,,,,,,,,
A,2-Spa,n_Aa,1932,,1,,,,,,,,
A,2-Spa,n_Aa,1386,,2,,,,,,,,
A,2-Spa,n_Aa,835,,3,,,,,,,,
A,2-Spa,n_Aa,512,,4,,,,,,,,
A,2-Spa,n_Aa,5000,,0,,,,,,,,
A,2-Spa,n_Aa,2194,,1,,,,,,,,
