Antibiotic,,CFUs_sub,Host,replicate,Day,n_A,n_Aa,n_Ab,n_Aab,n_B,n_Ba,n_Bb,n_Bab
1-PF,0,1,B,1,0,0,5000,0,0,0,0,5000,0
1-PF,845,846,B,1,1,845,3010,59,245,847,60,3503,222
1-PF,1773,1774,B,1,2,1773,2366,116,208,1669,209,2039,228
1-PF,2553,2554,B,1,3,2553,1086,233,110,3172,104,1440,50
1-PF,3145,3146,B,1,4,3145,722,204,34,3690,318,915,46
1-PF,4155,4156,B,1,5,4155,507,111,22,4091,340,444,20
1-PF,4086,4087,B,1,6,4086,434,206,6,4774,178,387,35
1-PF,4120,4121,B,1,7,4120,490,39,4,5122,163,203,2
1-PF,4102,4103,B,1,8,4102,301,25,7,5517,72,89,0
1-PF,0,1,B,2,0,0,5000,0,0,0,0,5000,0
1-PF,1062,1063,B,2,1,1062,3196,61,239,796,58,3032,284
1-PF,2243,2244,B,2,2,2243,1804,150,92,1780,74,2182,218
1-PF,3258,3259,B,2,3,3258,902,178,43,2229,123,2157,123
1-PF,4698,4699,B,2,4,4698,616,212,28,2346,73,1417,109
1-PF,5016,5017,B,2,5,5016,476,307,25,3147,89,884,6
1-PF,6182,6183,B,2,6,6182,130,154,9,3077,11,503,8
1-PF,6706,6707,B,2,7,6706,76,183,0,2969,7,226,1
1-PF,6829,6830,B,2,8,6829,51,95,0,2835,23,113,1
1-PF,0,1,B,3,0,0,5000,0,0,0,0,5000,0
1-PF,792,793,B,3,1,792,3154,55,221,1003,63,3101,200
1-PF,2236,2237,B,3,2,2236,1273,156,99,1395,129,2061,120
1-PF,3103,3104,B,3,3,3103,1171,346,104,2140,103,1153,63
1-PF,4382,4383,B,3,4,4382,860,204,47,2854,196,760,17
1-PF,5122,5123,B,3,5,5122,486,112,10,3460,271,343,31
1-PF,6474,6475,B,3,6,6474,67,15,0,3266,71,89,0
1-PF,7006,7007,B,3,7,7006,5,43,0,2961,4,90,0
1-PF,7757,7758,B,3,8,7757,0,7,0,2247,0,67,0
1-PF,0,1,B,4,0,0,5000,0,0,0,0,5000,0
1-PF,726,727,B,4,1,726,3010,28,198,1196,99,3100,221
1-PF,919,920,B,4,2,919,2053,62,197,2694,340,2243,209
1-PF,1573,1574,B,4,3,1573,965,140,109,4754,237,1616,78
1-PF,1385,1386,B,4,4,1385,576,166,68,5630,232,1038,42
1-PF,1726,1727,B,4,5,1726,390,210,74,6589,211,376,74
1-PF,1871,1872,B,4,6,1871,248,12,13,7308,147,139,61
1-PF,1075,1076,B,4,7,1075,265,9,4,8491,75,167,23
1-PF,1420,1421,B,4,8,1420,92,1,0,8061,31,54,14
1-PF,0,1,B,5,0,0,5000,0,0,0,0,5000,0
1-PF,607,608,B,5,1,607,2739,57,187,861,41,3539,211
1-PF,1809,1810,B,5,2,1809,1744,80,173,1790,169,1959,109
1-PF,2339,2340,B,5,3,2339,1551,76,134,2848,152,1361,129
1-PF,2456,2457,B,5,4,2456,1118,156,201,3894,126,966,140
1-PF,2808,2809,B,5,5,2808,1061,100,58,5307,215,455,121
1-PF,3418,3419,B,5,6,3418,501,56,30,5446,245,230,39
1-PF,4260,4261,B,5,7,4260,595,47,1,4903,164,112,3
1-PF,4428,4429,B,5,8,4428,343,78,1,4764,105,106,5
1-PF,0,1,B,6,0,0,5000,0,0,0,0,5000,0
1-PF,1013,1014,B,6,1,1013,3736,56,184,605,36,2851,186
1-PF,1577,1578,B,6,2,1577,2497,149,236,1376,131,2180,159
1-PF,2269,2270,B,6,3,2269,2018,145,230,1613,113,1173,162
1-PF,3654,3655,B,6,4,3654,1559,57,27,2244,282,754,38
