Antibiotic,,CFUs_sub,Host,replicate,Day,n_A,n_Aa,n_Ab,n_Aab,n_B,n_Ba,n_Bb,n_Bab
1-PF,0,1,A,1,0,0,5000,0,0,0,0,5000,0
1-PF,846,846,A,1,1,846,2860,50,166,706,31,2917,175
1-PF,1718,1718,A,1,2,1718,2087,103,124,1563,95,2544,134
1-PF,2968,2968,A,1,3,2968,1329,187,45,2666,96,1732,49
1-PF,4681,4681,A,1,4,4681,799,190,15,2863,119,949,22
1-PF,5422,5422,A,1,5,5422,491,119,7,3230,29,572,16
1-PF,5644,5644,A,1,6,5644,119,80,1,3826,29,358,1
1-PF,5043,5043,A,1,7,5043,27,97,0,4634,25,160,0
1-PF,5077,5077,A,1,8,5077,5,54,0,4886,1,127,0
1-PF,0,1,A,2,0,0,5000,0,0,0,0,5000,0
1-PF,774,774,A,2,1,774,3043,54,208,982,46,3091,198
1-PF,1154,1154,A,2,2,1154,2379,131,181,2409,136,2065,161
1-PF,1204,1204,A,2,3,1204,1450,65,78,3760,246,1569,54
1-PF,1474,1474,A,2,4,1474,564,79,27,6077,178,1071,11
1-PF,1643,1643,A,2,5,1643,572,23,13,6869,214,758,17
1-PF,1923,1923,A,2,6,1923,379,31,18,6721,99,641,10
1-PF,2065,2065,A,2,7,2065,291,12,3,7197,77,444,3
1-PF,1421,1421,A,2,8,1421,164,11,0,8109,83,301,1
1-PF,0,1,A,3,0,0,5000,0,0,0,0,5000,0
1-PF,933,933,A,3,1,933,3223,66,193,1034,74,2889,166
1-PF,2025,2025,A,3,2,2025,2897,76,153,1697,140,1665,107
1-PF,3231,3231,A,3,3,3231,2534,88,80,1916,172,1112,112
1-PF,5251,5251,A,3,4,5251,1249,119,33,2196,158,637,21
1-PF,6760,6760,A,3,5,6760,688,176,8,1561,81,500,7
1-PF,7475,7475,A,3,6,7475,456,94,2,1712,46,237,18
1-PF,8014,8014,A,3,7,8014,384,42,4,1354,19,233,0
