Colonies_picked,Plasmid_containing,Plasmid_free,Fraction_P,State,Strain,Full Strain Description,Day,Rep
50,50,0,1,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),0,1
50,29,21,0.58,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),3,1
50,20,30,0.4,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),6,1
50,2,48,0.04,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),9,1
50,47,3,0.94,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),0,2
42,33,9,0.785714286,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),3,2
47,5,42,0.106382979,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),6,2
50,3,47,0.06,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),9,2
50,46,4,0.92,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),0,3
35,22,13,0.628571429,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),3,3
50,3,47,0.06,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),6,3
50,0,50,0,HostEvolvedPlasmidAncestor,K1(p1),K1(p1),9,3
50,50,0,1,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),0,1
50,47,3,0.94,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),3,1
50,46,4,0.92,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),6,1
50,44,6,0.88,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),9,1
50,50,0,1,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),0,2
50,50,0,1,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),3,2
50,42,8,0.84,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),6,2
50,45,5,0.9,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),9,2
50,50,0,1,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),0,3
50,50,0,1,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),3,3
50,45,5,0.9,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),6,3
50,43,7,0.86,HostEvolvedPlasmidAncestor,K1(p2),K1(p2),9,3
50,45,5,0.9,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),0,1
50,24,26,0.48,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),3,1
50,7,43,0.14,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),6,1
50,1,49,0.02,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),9,1
50,50,0,1,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),0,2
50,28,22,0.56,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),3,2
50,14,36,0.28,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),6,2
50,2,48,0.04,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),9,2
50,50,0,1,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),0,3
50,24,26,0.48,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),3,3
50,14,36,0.28,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),6,3
50,0,50,0,HostEvolvedPlasmidAncestor,K2(p1),K2(p1),9,3
50,50,0,1,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),0,1
50,50,0,1,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),3,1
50,47,3,0.94,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),6,1
50,38,12,0.76,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),9,1
50,49,1,0.98,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),0,2
50,50,0,1,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),3,2
50,48,2,0.96,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),6,2
50,33,17,0.66,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),9,2
50,50,0,1,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),0,3
50,50,0,1,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),3,3
50,44,6,0.88,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),6,3
50,36,14,0.72,HostEvolvedPlasmidAncestor,K2(p2),K2(p2),9,3
