Mixture,Host,Antibiotic,CFUs,Day,,CFUs_sub
two,Ecoli,2-Cm,454000000,0,454000000,454000001
two,Ecoli,2-Cm,4100000,1,4100000,4100001
two,Ecoli,2-Cm,2800000,1,2800000,2800001
two,Ecoli,2-Cm,3100000,1,3100000,3100001
two,Ecoli,2-Cm,30000,2,30000,30001
two,Ecoli,2-Cm,15000,2,15000,15001
two,Ecoli,2-Cm,19000,2,19000,19001
two,Ecoli,2-Cm,1470000,3,1470000,1470001
two,Ecoli,2-Cm,1410000,3,1410000,1410001
two,Ecoli,2-Cm,410000,3,410000,410001
two,Ecoli,2-Cm,233000,4,233000,233001
two,Ecoli,2-Cm,112000,4,112000,112001
two,Ecoli,2-Cm,30000,4,30000,30001
two,Ecoli,3-Tet,0,0,0,1
two,Ecoli,3-Tet,0,1,0,1
two,Ecoli,3-Tet,0,1,0,1
two,Ecoli,3-Tet,0,1,0,1
two,Ecoli,3-Tet,0,2,0,1
two,Ecoli,3-Tet,0,2,0,1
two,Ecoli,3-Tet,0,2,0,1
two,Ecoli,3-Tet,0,3,0,1
two,Ecoli,3-Tet,0,3,0,1
two,Ecoli,3-Tet,0,3,0,1
two,Ecoli,3-Tet,0,4,0,1
two,Ecoli,3-Tet,0,4,0,1
two,Ecoli,3-Tet,0,4,0,1
two,Ecoli,4-Both,0,0,0,1.3
two,Ecoli,4-Both,0,1,0,1.3
two,Ecoli,4-Both,0,1,0,1.3
two,Ecoli,4-Both,0,1,0,1.3
two,Ecoli,4-Both,0,2,0,1.3
two,Ecoli,4-Both,0,2,0,1.3
two,Ecoli,4-Both,0,2,0,1.3
two,Ecoli,4-Both,0,3,0,1.3
two,Ecoli,4-Both,0,3,0,1.3
two,Ecoli,4-Both,0,3,0,1.3
two,Ecoli,4-Both,0,4,0,1.3
two,Ecoli,4-Both,0,4,0,1.3
two,Ecoli,4-Both,0,4,0,1.3
two,Ecoli,1-LB,486000000,0,0,1.3
two,Ecoli,1-LB,130000000,1,125900000,125900001
two,Ecoli,1-LB,190000000,1,187200000,187200001
two,Ecoli,1-LB,150000000,1,146900000,146900001
two,Ecoli,1-LB,77000000,2,76970000,76970001
two,Ecoli,1-LB,43000000,2,42985000,42985001
two,Ecoli,1-LB,47000000,2,46981000,46981001
two,Ecoli,1-LB,31000000,3,29530000,29530001
two,Ecoli,1-LB,44200000,3,42790000,42790001
two,Ecoli,1-LB,21900000,3,21490000,21490001
two,Ecoli,1-LB,11600000,4,11367000,11367001
two,Ecoli,1-LB,7600000,4,7488000,7488001
two,Ecoli,1-LB,4300000,4,4270000,4270001
two,Kleb,2-Cm,0,0,0,1
two,Kleb,2-Cm,500,1,380,381
two,Kleb,2-Cm,400,1,280,281
two,Kleb,2-Cm,2000,1,1920,1921
two,Kleb,2-Cm,27000,2,26900,26901
two,Kleb,2-Cm,31000,2,30100,30101
two,Kleb,2-Cm,8000,2,7300,7301
two,Kleb,2-Cm,17000,3,-2200,-2199
two,Kleb,2-Cm,181000,3,118700,118701
two,Kleb,2-Cm,54000,3,39100,39101
two,Kleb,2-Cm,568000,4,559960,559961
two,Kleb,2-Cm,993000,4,984960,984961
two,Kleb,2-Cm,304000,4,295960,295961
two,Kleb,3-Tet,500000000,0,500000000,500000001
two,Kleb,3-Tet,40200000,1,40199880,40199881
two,Kleb,3-Tet,38600000,1,38599880,38599881
two,Kleb,3-Tet,48200000,1,48199920,48199921
two,Kleb,3-Tet,90000000,2,89999900,89999901
two,Kleb,3-Tet,93000000,2,92999100,92999101
two,Kleb,3-Tet,85000000,2,84999300,84999301
two,Kleb,3-Tet,168000000,3,167980800,167980801
two,Kleb,3-Tet,198000000,3,197937700,197937701
two,Kleb,3-Tet,371000000,3,370985100,370985101
two,Kleb,3-Tet,250000000,4,249991960,249991961
two,Kleb,3-Tet,307000000,4,306991960,306991961
two,Kleb,3-Tet,405000000,4,404991960,404991961
two,Kleb,4-Both,0,0,0,1
two,Kleb,4-Both,120,1,120,121
two,Kleb,4-Both,120,1,120,121
two,Kleb,4-Both,80,1,80,81
two,Kleb,4-Both,100,2,100,101
two,Kleb,4-Both,900,2,900,901
two,Kleb,4-Both,700,2,700,701
two,Kleb,4-Both,19200,3,19200,19201
two,Kleb,4-Both,62300,3,62300,62301
two,Kleb,4-Both,14900,3,14900,14901
two,Kleb,4-Both,8040,4,8040,8041
two,Kleb,4-Both,8040,4,8040,8041
two,Kleb,4-Both,8040,4,8040,8041
two,Kleb,1-LB,540000000,0,0,1
two,Kleb,1-LB,150000000,1,109799620,109799621
two,Kleb,1-LB,120000000,1,81399720,81399721
two,Kleb,1-LB,140000000,1,91798080,91798081
two,Kleb,1-LB,380000000,2,289973100,289973101
two,Kleb,1-LB,250000000,2,156969900,156969901
two,Kleb,1-LB,450000000,2,364992700,364992701
two,Kleb,1-LB,1140000000,3,972002200,972002201
two,Kleb,1-LB,1170000000,3,971881300,971881301
two,Kleb,1-LB,3260000000,3,2888960900,2888960901
two,Kleb,1-LB,1420000000,4,1169440040,1169440041
two,Kleb,1-LB,2080000000,4,1772015040,1772015041
two,Kleb,1-LB,2540000000,4,2134704040,2134704041
