Mixture,Host,Antibiotic,CFUs,Day,,CFUs_sub,
five,Ecoli,2-Cm,563000000,0,563000000,563000001,
five,Ecoli,2-Cm,1200000,1,1200000,1200001,
five,Ecoli,2-Cm,1600000,1,1600000,1600001,
five,Ecoli,2-Cm,1100000,1,1100000,1100001,
five,Ecoli,2-Cm,350000,2,348960,348961,
five,Ecoli,2-Cm,140000,2,138980,138981,
five,Ecoli,2-Cm,450000,2,449080,449081,
five,Ecoli,2-Cm,2290000,3,2288200,2288201,
five,Ecoli,2-Cm,1270000,3,1269800,1269801,
five,Ecoli,2-Cm,1090000,3,1089000,1089001,
five,Ecoli,2-Cm,1136000,4,1133840,1133841,
five,Ecoli,2-Cm,1026000,4,1024760,1024761,
five,Ecoli,2-Cm,1042000,4,1039960,1039961,
five,Ecoli,3-Tet,757000000,0,757000000,757000001,
five,Ecoli,3-Tet,17400000,1,17400000,17400001,
five,Ecoli,3-Tet,17700000,1,17700000,17700001,
five,Ecoli,3-Tet,14400000,1,14400000,14400001,
five,Ecoli,3-Tet,39000000,2,38998960,38998961,
five,Ecoli,3-Tet,39000000,2,38998980,38998981,
five,Ecoli,3-Tet,29000000,2,28999080,28999081,
five,Ecoli,3-Tet,49280000,3,49278200,49278201,
five,Ecoli,3-Tet,72800000,3,72799800,72799801,
five,Ecoli,3-Tet,70880000,3,70879000,70879001,
five,Ecoli,3-Tet,5000000,4,4997840,4997841,
five,Ecoli,3-Tet,8400000,4,8398760,8398761,
five,Ecoli,3-Tet,8600000,4,8597960,8597961,
five,Ecoli,1-LB,611000000,0,0,1,
five,Ecoli,1-LB,240000000,1,221400000,221400001,
five,Ecoli,1-LB,320000000,1,300700000,300700001,
five,Ecoli,1-LB,400000000,1,384500000,384500001,
five,Ecoli,1-LB,216000000,2,176651040,176651041,
five,Ecoli,1-LB,305000000,2,265861020,265861021,
five,Ecoli,1-LB,279000000,2,249550920,249550921,
five,Ecoli,1-LB,269000000,3,217431800,217431801,
five,Ecoli,1-LB,198000000,3,123930200,123930201,
five,Ecoli,1-LB,236000000,3,164031000,164031001,
five,Ecoli,1-LB,295000000,4,288866160,288866161,
five,Ecoli,1-LB,307000000,4,297575240,297575241,
five,Ecoli,1-LB,206000000,4,196360040,196360041,
five,Ecoli,4-Both,0,0,0,1,
five,Ecoli,4-Both,0,1,0,1,
five,Ecoli,4-Both,0,1,-520,-520,actually 0
five,Ecoli,4-Both,0,1,-520,-520,actually 0
five,Ecoli,4-Both,1040,2,1040,1041,
five,Ecoli,4-Both,1020,2,1020,1021,
five,Ecoli,4-Both,920,2,920,921,
five,Ecoli,4-Both,1800,3,1800,1801,
five,Ecoli,4-Both,200,3,200,201,
five,Ecoli,4-Both,1000,3,1000,1001,
five,Ecoli,4-Both,2160,4,2160,2161,
five,Ecoli,4-Both,1240,4,1240,1241,
five,Ecoli,4-Both,2040,4,2040,2041,
