Mixture,Host,Antibiotic,CFUs,Day,,CFUs_sub
eight,Kleb,2-Cm,2700000000,0,2700000000,2700000001
eight,Kleb,2-Cm,473000000,1,472950400,472950401
eight,Kleb,2-Cm,326000000,1,325952000,325952001
eight,Kleb,2-Cm,354000000,2,353993100,353993101
eight,Kleb,2-Cm,380000000,2,379967000,379967001
eight,Kleb,2-Cm,533000000,2,532987000,532987001
eight,Kleb,2-Cm,396000000,3,395985000,395985001
eight,Kleb,2-Cm,292000000,3,291976000,291976001
eight,Kleb,2-Cm,367000000,3,366971000,366971001
eight,Kleb,2-Cm,890000000,4,889987000,889987001
eight,Kleb,2-Cm,852000000,4,851966000,851966001
eight,Kleb,2-Cm,1074000000,4,1073933000,1073933001
eight,Kleb,3-Tet,1200000000,0,1200000000,1200000001
eight,Kleb,3-Tet,180000000,1,179950400,179950401
eight,Kleb,3-Tet,200000000,1,199952000,199952001
eight,Kleb,3-Tet,560000000,2,559993100,559993101
eight,Kleb,3-Tet,780000000,2,779967000,779967001
eight,Kleb,3-Tet,560000000,2,559987000,559987001
eight,Kleb,3-Tet,150000000,3,149985000,149985001
eight,Kleb,3-Tet,180000000,3,179976000,179976001
eight,Kleb,3-Tet,150000000,3,149971000,149971001
eight,Kleb,3-Tet,330000000,4,329987000,329987001
eight,Kleb,3-Tet,300000000,4,299966000,299966001
eight,Kleb,3-Tet,410000000,4,409933000,409933001
eight,Kleb,1-LB,3200000000,0,0,1
eight,Kleb,1-LB,850000000,1,197049600,197049601
eight,Kleb,1-LB,840000000,1,314048000,314048001
eight,Kleb,1-LB,2270000000,2,1356006900,1356006901
eight,Kleb,1-LB,2450000000,2,1290033000,1290033001
eight,Kleb,1-LB,1750000000,2,657013000,657013001
eight,Kleb,1-LB,720000000,3,174015000,174015001
eight,Kleb,1-LB,620000000,3,148024000,148024001
eight,Kleb,1-LB,730000000,3,213029000,213029001
eight,Kleb,1-LB,1670000000,4,450013000,450013001
eight,Kleb,1-LB,1880000000,4,728034000,728034001
eight,Kleb,1-LB,2140000000,4,656067000,656067001
eight,Kleb,4-Both,0,0,0,1
eight,Kleb,4-Both,49600,1,49600,49601
eight,Kleb,4-Both,48000,1,48000,48001
eight,Kleb,4-Both,6900,2,6900,6901
eight,Kleb,4-Both,33000,2,33000,33001
eight,Kleb,4-Both,13000,2,13000,13001
eight,Kleb,4-Both,15000,3,15000,15001
eight,Kleb,4-Both,24000,3,24000,24001
eight,Kleb,4-Both,29000,3,29000,29001
eight,Kleb,4-Both,13000,4,13000,13001
eight,Kleb,4-Both,34000,4,34000,34001
eight,Kleb,4-Both,67000,4,67000,67001
